n,x,y
1,0.323832765,0.571402595
2,0.150849174,0.428889055
3,0.650934473,0.578091301
4,0.072436287,0.206098232
5,0.535882004,0.813321251
6,0.365688917,0.823588873
7,0.057998925,0.653472534
8,0.507435733,0.160229557
9,0.037495658,0.52066936
10,0.433645684,0.327772812
11,0.069855424,0.249996677
12,0.090713013,0.952816909
13,0.424519189,0.996556993
14,0.826852125,0.044556382
15,0.123801961,0.860161037
16,0.223238965,0.603190611
17,0.627433222,0.381605986
18,0.947708942,0.283618218
19,0.577102949,0.674964847
20,0.396680475,0.456831151
21,0.976255106,0.685861485
22,0.046582681,0.66184632
23,0.858468459,0.132978145
24,0.289609286,0.767837814
25,0.144255083,0.982413249
26,0.117792238,0.96938816
27,0.308481824,0.613326821
28,0.816126359,0.044260633
29,0.18072638,0.004055144
30,0.581600164,0.133972527
31,0.638913469,0.941002271
32,0.372397543,0.302860562
33,0.547744466,0.366145602
34,0.062788975,0.898196245
35,0.05960117,0.314363805
36,0.205958713,0.548982184
37,0.680399973,0.436030958
38,0.427592306,0.064994176
39,0.31414717,0.584546226
40,0.585561864,0.844067898
41,0.453184376,0.156418918
42,0.299766997,0.224298969
43,0.794379482,0.412870208
44,0.698994434,0.036924869
45,0.244096511,0.496603499
46,0.57442371,0.817982864
47,0.525196504,0.657890939
48,0.875137496,0.533483736
49,0.729445289,0.855125741
50,0.287937765,0.149688135
51,0.980174847,0.567235477
52,0.118065778,0.374174818
53,0.418122822,0.601304547
54,0.75714093,0.112915702
55,0.151984535,0.775512701
56,0.4889631,0.096605833
57,0.039207257,0.166363746
58,0.668215857,0.807449752
59,0.764570866,0.947693924
60,0.57302594,0.433231503
61,0.875477812,0.414080832
62,0.313747513,0.245481876
63,0.695295366,0.274703392
64,0.594369877,0.617252771
65,0.579895204,0.178460411
66,0.456205331,0.119482504
67,0.839967781,0.455734859
68,0.944681095,0.164937807
69,0.474098337,0.648724831
70,0.664152205,0.821055674
71,0.060669428,0.777511389
72,0.701492021,0.48013339
73,0.647128855,0.347571256
74,0.993095939,0.434710549
75,0.821924787,0.005008575
76,0.284595532,0.712573201
77,0.385791442,0.331657223
78,0.668652716,0.319423238
79,0.022562928,0.079925032
80,0.461695286,0.448055926
81,0.168048379,0.582848967
82,0.117095794,0.390586942
83,0.058954419,0.869545545
84,0.768232988,0.673353217
85,0.129340222,0.241408242
86,0.247614834,0.525353849
87,0.390949703,0.910533818
88,0.871421974,0.520109694
89,0.080581301,0.602104869
90,0.449187401,0.062773624
91,0.549439909,0.489386117
92,0.883383826,0.461441263
93,0.819279838,0.40112988
94,0.86398447,0.420435358
95,0.278421065,0.584935049
96,0.415296517,0.538667048
97,0.358771165,0.489895759
98,0.884192827,0.165796441
99,0.957731204,0.441346817
100,0.150920906,0.968678199
101,0.176217728,0.415173693
102,0.231956867,0.03531783
103,0.233336084,0.002830427
104,0.48496273,0.535418451
105,0.589123504,0.050572942
106,0.262746619,0.092743405
107,0.004093603,0.108756413
108,0.418946501,0.45407833
109,0.369253573,0.992688066
110,0.566341224,0.485055351
111,0.953097926,0.458640284
112,0.690493657,0.436510815
113,0.515491433,0.501112185
114,0.617592749,0.447087469
115,0.676200082,0.726215201
116,0.053992893,0.897941536
117,0.89953301,0.697870347
118,0.779969491,0.423310603
119,0.874513184,0.649529118
120,0.797873121,0.909540598
121,0.392378907,0.153627342
122,0.398978832,0.237342457
123,0.103537094,0.619112
124,0.634289566,0.687019946
125,0.062247822,0.642600223
126,0.067347616,0.588528563
127,0.208763185,0.829423194
128,0.162303188,0.478942953
129,0.340053652,0.807588861
130,0.052575604,0.962355847
131,0.000233282,0.435356683
132,0.151264932,0.858845578
133,0.101464368,0.718242379
134,0.363609922,0.888681494
135,0.025500887,0.046235886
136,0.874332377,0.913098645
137,0.614068988,0.766838536
138,0.148550485,0.962378927
139,0.252257757,0.981319359
140,0.347389546,0.285485731
141,0.36416344,0.670001317
142,0.122842231,0.141273531
143,0.848936926,0.595132764
144,0.993102722,0.919579676
145,0.465989459,0.191973321
146,0.483834656,0.349868686
147,0.085884662,0.079745677
148,0.102187617,0.194656316
149,0.342635838,0.207702666
150,0.264756892,0.09600093
151,0.828855378,0.999698038
152,0.161438611,0.887533955
153,0.023095721,0.463759973
154,0.950985573,0.743702447
155,0.528257395,0.695236793
156,0.146602539,0.52245461
157,0.543172426,0.423486795
158,0.027042491,0.664073324
159,0.528109441,0.555519873
160,0.978501243,0.265889828
161,0.86332503,0.364325547
162,0.696196786,0.627266763
163,0.261115197,0.627128892
164,0.366699792,0.209593761
165,0.167042035,0.609772991
166,0.771937908,0.87492876
167,0.532592397,0.87133745
168,0.779054891,0.652263308
169,0.329664995,0.070172673
170,0.223041673,0.42351809
171,0.811511247,0.089022285
172,0.984926051,0.055249798
173,0.852628799,0.254698085
174,0.806078585,0.456873763
175,0.818332943,0.759399505
176,0.73987302,0.62884154
177,0.22673949,0.282484602
178,0.517638724,0.695069062
179,0.355562543,0.506506961
180,0.028980151,0.507529616
181,0.027937075,0.263622063
182,0.279418539,0.441645687
183,0.259174363,0.34152587
184,0.692521942,0.726546394
185,0.956515076,0.482596531
186,0.447227678,0.446765578
187,0.937021201,0.477008094
188,0.988038058,0.479911373
189,0.955000631,0.689638701
190,0.364635885,0.719847689
191,0.220462323,0.801096974
192,0.226845827,0.405256882
193,0.196706163,0.793539861
194,0.204373363,0.964725946
195,0.624066397,0.992349412
196,0.900308338,0.720655602
197,0.840435527,0.065488648
198,0.479473426,0.847286528
199,0.652978043,0.836456972
200,0.799643745,0.016317819
201,0.084778486,0.327665729
202,0.66058565,0.32209722
203,0.909777138,0.740442122
204,0.782302884,0.610306288
205,0.75014046,0.282322046
206,0.478032745,0.186365561
207,0.178521718,0.168530392
208,0.789135431,0.095453229
209,0.3325172,0.790572739
210,0.800823569,0.935735748
211,0.971657289,0.219876338
212,0.395838495,0.744912692
213,0.401386818,0.951143722
214,0.946797006,0.191727225
215,0.724798666,0.571894452
216,0.17000366,0.439312681
217,0.127038367,0.974860927
218,0.1511507,0.869591911
219,0.904852096,0.016048114
220,0.806501982,0.201327274
